                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9535,                 63.346,                 1.3687,                0.00029,                0.16667,                0.00021,                0.00015,                 2.4049,                 11.204,                 1.0911,             0.00023338,             0.00023338,             0.00023338
                      2,                 3.0733,                 36.663,                 1.9938,                0.00029,                0.16667,                0.00021,                0.00015,                 2.6598,                 16.121,                 1.5293,             0.00047386,             0.00047386,             0.00047386
                      3,                 2.3588,                 18.616,                 1.4882,                0.00029,                0.16667,                0.00021,                0.00015,                 2.6319,                 18.242,                 1.4758,             0.00070443,             0.00070443,             0.00070443
                      4,                 2.1292,                 26.084,                 1.3655,                0.00027,                0.16667,                0.00018,                  4e-05,                 2.7737,                 13.817,                 1.6839,             0.00092511,             0.00092511,             0.00092511
                      5,                 2.1111,                 37.819,                 1.3254,                0.00027,                0.16667,                0.00018,                  4e-05,                 3.8687,                 25.759,                 1.5979,              0.0011359,              0.0011359,              0.0011359
                      6,                 2.4925,                 20.941,                 1.7698,                0.00078,                0.33333,                0.00063,                  9e-05,                 3.0318,                 9.9352,                  1.751,              0.0013368,              0.0013368,              0.0013368
                      7,                  2.829,                 18.305,                 1.9663,                0.00114,                    0.5,                0.01105,                0.00333,                 2.5576,                 8.1632,                 2.1159,               0.001469,               0.001469,               0.001469
                      8,                 2.5476,                 21.344,                 1.7617,                0.00165,                0.83333,                0.09207,                0.02331,                  2.645,                 7.5398,                 2.1322,               0.001469,               0.001469,               0.001469
                      9,                 2.8792,                 21.253,                  1.913,                0.00147,                0.66667,                0.04029,                0.01056,                 3.2237,                 6.8957,                 1.7477,               0.001436,               0.001436,               0.001436
                     10,                 2.8973,                 20.251,                 1.9525,                0.00132,                0.66667,                0.00644,                0.00121,                 2.6272,                  10.14,                  1.413,              0.0014029,              0.0014029,              0.0014029
                     11,                 2.5153,                 17.904,                 1.9865,                0.00089,                0.33333,                0.00246,                0.00085,                 3.1482,                 12.303,                 1.7588,              0.0013699,              0.0013699,              0.0013699
                     12,                 2.4671,                 12.553,                 2.0385,                0.00072,                0.16667,                0.00315,                0.00031,                 3.0593,                 13.936,                 1.8532,              0.0013369,              0.0013369,              0.0013369
                     13,                 2.4459,                 14.358,                 1.8038,                0.00072,                0.16667,                0.00315,                0.00031,                 3.5753,                 10.419,                  2.135,              0.0013039,              0.0013039,              0.0013039
                     14,                 2.4354,                 16.531,                   1.87,                0.00098,                    0.5,                0.02708,                0.01188,                 2.3436,                 12.857,                 1.5757,              0.0012709,              0.0012709,              0.0012709
                     15,                 2.6447,                   10.6,                 1.9656,                0.00084,                    0.5,                0.01728,                0.00591,                  2.506,                 9.0017,                 1.3873,              0.0012379,              0.0012379,              0.0012379
                     16,                 2.7619,                 14.381,                 1.8685,                0.00103,                    0.5,                0.04397,                0.01451,                 2.5093,                 9.0595,                 1.3374,              0.0012049,              0.0012049,              0.0012049
