                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9535,                 63.346,                 1.3687,                0.00029,                0.16667,                0.00021,                0.00015,                 2.4049,                 11.204,                 1.0911,             0.00023338,             0.00023338,             0.00023338
                      2,                 3.0774,                 39.726,                 2.0366,                0.00029,                0.16667,                0.00021,                0.00015,                  2.554,                 15.827,                 1.4478,             0.00047864,             0.00047864,             0.00047864
                      3,                 2.3674,                 18.898,                 1.5357,                0.00029,                0.16667,                0.00021,                0.00015,                 3.5433,                 15.958,                 1.6154,             0.00071896,             0.00071896,             0.00071896
                      4,                 2.1453,                 25.005,                 1.4626,                0.00029,                0.16667,                0.00021,                0.00015,                 3.6522,                 16.965,                 1.8109,             0.00095432,             0.00095432,             0.00095432
                      5,                  2.222,                 35.596,                 1.4967,                0.00029,                0.16667,                0.00021,                0.00015,                 2.8777,                 12.476,                 1.4283,              0.0011847,              0.0011847,              0.0011847
                      6,                 2.6149,                   21.2,                 1.9047,                0.00029,                0.16667,                0.00021,                0.00015,                 3.6932,                 12.126,                 1.7826,              0.0014102,              0.0014102,              0.0014102
                      7,                 2.9139,                 18.123,                 2.0906,                0.00033,                0.16667,                 0.0002,                  8e-05,                 3.5762,                 12.782,                 1.8327,               0.001568,               0.001568,               0.001568
                      8,                 2.6563,                 22.844,                 1.9042,                0.00033,                0.16667,                 0.0002,                  8e-05,                 4.6451,                 17.742,                  3.482,               0.001568,               0.001568,               0.001568
                      9,                 3.1859,                 20.733,                 2.0206,                0.00097,                    0.5,                0.00113,                0.00043,                 3.2067,                 10.221,                 2.6042,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.9816,                 18.922,                 2.2198,                0.00088,                    0.5,                0.01243,                0.00162,                 3.2397,                 10.389,                 2.0706,               0.001535,               0.001535,               0.001535
                     11,                 3.0711,                 16.744,                 2.1787,                 0.0003,                0.16667,                0.00026,                  8e-05,                 3.1653,                 8.3692,                 1.8324,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.6067,                 11.833,                 2.0909,                0.00111,                0.66667,                0.05606,                0.01219,                 3.1417,                 8.3602,                 1.8919,               0.001502,               0.001502,               0.001502
                     13,                  2.644,                 13.736,                 2.0036,                0.00088,                    0.5,                0.04605,                0.01749,                 2.6345,                 7.0746,                 1.5847,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.5936,                 16.221,                 2.1395,                0.01311,                    0.5,                0.02454,                0.00492,                 3.0607,                 7.7421,                 1.7859,               0.001469,               0.001469,               0.001469
                     15,                 2.8389,                 9.5281,                 2.0428,                0.00059,                0.33333,                0.00873,                0.00167,                  3.024,                 7.1876,                 1.5767,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.5854,                 13.061,                 1.7745,                0.00073,                0.33333,                0.01435,                0.00259,                 3.0791,                 5.7231,                 1.7168,               0.001436,               0.001436,               0.001436
                     17,                 2.6428,                 14.221,                 1.9267,                0.00083,                0.33333,                0.00301,                0.00058,                 3.0118,                 6.1872,                 1.5566,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.8078,                 12.172,                 1.8601,                0.00031,                0.16667,                0.00222,                0.00044,                 3.0077,                 7.0691,                 1.5831,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.3928,                 8.8635,                 1.8105,                0.00119,                0.66667,                 0.0053,                0.00136,                 3.1487,                  4.994,                 1.8203,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.3306,                 12.446,                 1.6339,                 0.0007,                0.33333,                0.01526,                0.00236,                 3.0292,                 5.2992,                 1.5619,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.7778,                  9.256,                 1.9989,                0.00125,                0.16667,                0.01084,                0.00217,                  2.699,                   5.32,                 1.7034,              0.0013534,              0.0013534,              0.0013534
                     22,                 2.7375,                  6.864,                 1.9933,                0.00935,                    0.5,                0.03293,                0.00554,                 3.4287,                 4.6238,                 1.7041,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.9958,                 6.8857,                 1.8866,                0.03976,                    0.5,                0.06721,                0.02055,                 3.1305,                 4.2961,                 1.7996,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.6198,                 5.9423,                 2.0145,                0.16459,                0.16667,                0.12361,                0.03694,                 2.9996,                 4.9195,                  1.536,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.5129,                 7.3775,                 1.7584,                0.27659,                0.16667,                0.34124,                0.08519,                 3.3493,                 3.7324,                 1.5621,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.2718,                 7.8183,                 1.7135,                0.03166,                    0.5,                0.08007,                0.02946,                 2.9483,                 4.0091,                 1.4072,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.8001,                  6.189,                 1.8089,                0.00485,                    0.5,                0.02872,                0.00493,                 2.9346,                 4.3014,                 1.4104,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.5836,                 5.2111,                  1.762,                0.06406,                0.33333,                0.10749,                0.03097,                 2.9034,                 3.2049,                 1.2909,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.5602,                 5.5679,                 1.8874,                0.12981,                0.16667,                0.15749,                0.03443,                 2.8197,                 2.9965,                 1.3429,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.2982,                 7.0639,                 1.5568,                 0.1399,                0.66667,                0.16099,                0.02158,                 2.8662,                 3.1898,                 1.5284,              0.0012049,              0.0012049,              0.0012049
                     31,                 2.4436,                 5.5395,                 1.7786,                0.02027,                    0.5,                0.05158,                0.01639,                 2.9899,                 3.2963,                 1.5958,              0.0011884,              0.0011884,              0.0011884
                     32,                 2.3743,                 5.3369,                 1.7316,                0.00845,                    0.5,                0.04721,                0.01419,                 3.4282,                  2.684,                 1.6664,              0.0011719,              0.0011719,              0.0011719
                     33,                 2.4323,                 7.0286,                 1.4285,                0.00985,                0.33333,                0.02003,                0.00592,                 4.0303,                 3.5082,                 1.7231,              0.0011554,              0.0011554,              0.0011554
